"","x"
"1284",134
"1285",175
"1286",175
"1287",150
"1288",175
"1289",175
"1290",110
"1291",110
"1292",150
"1293",134
"1294",135
"1295",210
"1296",210
"1297",110
"1298",150
"1299",150
"1300",330
"1301",210
"1302",134
"1303",150
"1304",134
"1305",175
"1306",150
"1307",175
"1308",110
"1309",270
"1310",330
"1311",210
"1312",175
"1313",175
"1314",110
"1315",134
"1316",134
"1317",175
"1318",175
"1319",150
"1320",150
"1321",270
"1322",150
"1323",150
"1324",380
"1325",175
"1326",270
"1327",175
"1328",210
"1329",150
"1330",330
"1331",110
"1332",110
"1333",150
"1334",134
"1335",134
"1336",134
"1337",134
"1338",175
"1339",175
"1340",330
"1341",134
"1342",175
"1343",330
"1344",175
"1345",110
"1346",135
"1347",330
"1348",380
"1349",150
"1350",175
"1351",170
"1352",134
"1353",175
"1354",150
"1355",150
"1356",175
"1357",330
"1358",380
"1359",330
"1360",134
"1361",175
"1362",150
"1363",175
"1364",175
"1365",110
"1366",175
"1367",134
"1368",134
"1369",330
"1370",175
"1371",175
"1372",170
"1373",330
"1374",165
"1375",330
"1376",175
"1377",175
"1378",175
"1379",134
"1380",270
"1381",175
"1382",270
"1383",134
"1384",330
"1385",330
"1386",170
"1387",165
"1388",170
"1389",175
"1390",175
"1391",270
"1392",150
"1393",150
"1394",134
"1395",110
"1396",175
"1397",380
"1398",330
"1399",330
"1400",175
"1401",170
"1402",270
"1403",150
"1404",110
"1405",175
"1406",110
"1407",175
"1408",110
"1409",175
"1410",150
"1411",175
"1412",150
"1413",190
"1414",175
"1415",134
"1416",175
"1417",150
"1418",70
"1419",110
"1420",170
"1421",150
"1422",190
"1423",170
"1424",150
"1425",175
"1426",134
"1427",134
"1428",165
"1429",330
"1430",380
"1431",175
"1432",170
"1433",175
"1434",175
"1435",150
"1436",220
"1437",380
"1438",210
"1439",330
"1440",150
"1441",175
"1442",170
"1443",175
"1444",175
"1445",330
"1446",175
"1447",150
"1448",150
"1449",170
"1450",150
"1451",175
"1452",170
"1453",175
"1454",175
"1455",175
"1456",135
"1457",134
"1458",134
"1459",200
"1460",150
"1461",110
"1462",175
"1463",175
"1464",150
"1465",150
"1466",160
"1467",110
"1468",330
"1469",380
"1470",165
"1471",190
"1472",175
"1473",170
"1474",175
"1475",380
"1476",150
"1477",110
"1478",150
"1479",165
"1480",134
"1481",175
"1482",175
"1483",175
"1484",175
"1485",150
"1486",210
"1487",175
"1488",170
"1489",270
"1490",150
"1491",330
"1492",110
"1493",170
"1494",110
"1495",150
"1496",175
"1497",150
"1498",150
"1499",170
"1500",165
"1501",380
"1502",330
"1503",150
"1504",210
"1505",175
"1506",250
"1507",175
"1508",330
"1509",175
"1510",110
"1511",170
"1512",110
"1513",175
"1514",150
"1515",150
"1516",175
"1517",150
"1518",134
"1519",150
"1520",110
"1521",170
"1522",170
"1523",175
"1524",165
"1525",330
"1526",165
"1527",150
"1528",380
"1529",134
"1530",134
"1531",110
"1532",175
"1533",380
"1534",175
"1535",270
"1536",150
"1537",150
"1538",110
"1539",175
"1540",270
"1541",270
"1542",150
"1543",110
"1544",165
"1545",150
"1546",175
"1547",110
"1548",170
"1549",134
"1550",210
"1551",210
"1552",330
"1553",175
"1554",270
"1555",110
"1556",134
"1557",150
"1558",175
"1559",170
"1560",330
"1561",110
"1562",134
"1563",150
"1564",175
"1565",150
"1566",110
"1567",150
"1568",175
"1569",150
"1570",150
"1571",175
"1572",200
"1573",165
"1574",175
"1575",134
"1576",170
"1577",150
"1578",170
"1579",175
"1580",175
"1581",175
"1582",110
"1583",150
"1584",125
"1585",175
"1586",190
"1587",175
"1588",380
"1589",135
"1590",150
"1591",175
"1592",150
"1593",165
"1594",175
"1595",180
